,ENCFF488ZHV,ENCFF731FLQ,ENCFF421TJX,ENCFF003XKT,ENCFF928NYA,ENCFF387IEG,ENCFF468UWE,ENCFF379SQG,ENCFF488DCO,ENCFF366SYN,ENCFF713BHS,ENCFF384BFE,ENCFF611MXW,ENCFF973GEQ,ENCFF051DBP,ENCFF842TMB,ENCFF182FGP,ENCFF296ZTM,ENCFF546LDW,ENCFF307SLN,ENCFF352KRP,ENCFF136UBW,ENCFF171FQU,ENCFF717PSW,ENCFF855AWK
TFAP2A,0.0897639119352192,0.012092822896174653,0.3229959421968512,0.2235586544787043,0.26742865438603164,0.08217749544633954,0.03802251651180588,0.07984692103174998,0.07979547533056384,0.036849505153795675,0.08204646990505098,0.08751471341119225,0.10199484444393236,0.127812303372088,0.207064345245285,0.02927155896054255,0.0,0.13638786587465726,0.0467101601691392,0.15474211826854128,0.05836229562253602,0.08756088040114073,0.014291000538155414,0.07165566301074168,0.06420552330689479
TFAP2B,0.0,0.0,0.02768536647401582,0.0,0.0,0.0,0.01901125825590294,0.015969384206349996,0.0,0.0,0.0,0.01944771409137606,0.0,0.0,0.0,0.014635779480271276,0.0,0.0,0.0,0.0,0.03890819708169067,0.0,0.0,0.0,0.0
TFAP2C,0.00897639119352192,0.012092822896174653,0.04614227745669303,0.033533798171805636,0.0191020467418594,0.03287099817853582,0.0,0.015969384206349996,0.019948868832640958,0.02456633676919712,0.02734882330168365,0.0,0.0,0.0,0.0,0.0,0.0,0.015154207319406362,0.0,0.0,0.0,0.0,0.0,0.042993397806445004,0.032102761653447394
TFAP2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFAP2E,0.01795278238704384,0.012092822896174653,0.03691382196535442,0.022355865447870427,0.0,0.03287099817853582,0.07604503302361176,0.11178568944444997,0.05984660649792289,0.01228316838459856,0.013674411650841824,0.009723857045688029,0.02549871111098309,0.031953075843022,0.029580620749326433,0.0,0.0,0.030308414638812724,0.01557005338971307,0.0,0.17508688686760804,0.0,0.0,0.0,0.0
ARID5A,0.7181112954817536,0.3869703326775889,3.3868431653212676,4.236436502371445,4.355266657143943,3.352841814210653,2.5475086062909944,3.7208665200795483,1.4363185559501495,2.5794653607656977,2.4477196855006875,1.9350475520919175,1.682914933324884,2.8757768258719794,2.81015897118601,0.8635109893360052,0.9672295118489375,1.4699581099824173,1.1366138974490538,0.9063466927157419,1.7119606715943898,2.6414198921010787,2.600962097944285,2.0780142273115088,2.600323693929239
ARID5B,1.463151764544073,1.717180851256801,1.4673244231228382,1.7214016394860232,1.6523270431708381,3.4350193096569925,2.642564897570509,6.850865824524147,5.924814043294366,1.473980206151827,1.4768364582909173,0.9918334186601789,1.062446296290962,3.4828852668893973,3.9638031804097418,0.08781467688162765,0.17410131213280872,2.424673171105018,2.6624791296409347,4.288567277728144,3.618462328597232,1.4739414867525358,1.114698041976122,0.8885302213331967,0.8667745646430796
ARID3B,4.326620555277566,4.208302367868779,10.852663657814201,11.535626571101139,12.053391494113281,11.340494371594856,10.380147007723007,21.558668678572495,12.507940758065882,4.139427745609715,4.512555844777803,5.231435090580159,4.9977473777526855,5.463975969156761,5.38367297637741,1.9465586708760796,2.069871155356726,6.758776464455236,5.901050234701253,13.307822171094553,13.131516515070604,7.41348787396325,5.973638224948963,7.2228908314827605,8.041741794188573
ARID3A,18.715775638493202,19.68711567497234,87.5872710682947,66.4751659092427,78.13692219757588,36.158097996389394,30.836260891074573,47.84427508222459,22.362681961390518,34.18405761433779,31.98444885131903,28.665930570688303,26.3911659998675,26.521052949708253,31.03007116604342,4.551727418364367,5.358451495643114,23.822413906106807,20.832731435436084,19.055386563926085,25.426506792884847,46.82318079451,49.44686186201772,16.81041854232,16.532922251525406
ARID3C,0.0,0.0,0.0,0.0,0.0,0.01643549908926791,0.0,0.015969384206349996,0.0,0.0,0.0,0.0,0.0,0.031953075843022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007296740033428393,0.0,0.014331132602148336,0.016051380826723697
