,ENCFF488ZHV,ENCFF731FLQ,ENCFF421TJX,ENCFF003XKT,ENCFF928NYA,ENCFF387IEG,ENCFF468UWE,ENCFF379SQG,ENCFF488DCO,ENCFF366SYN,ENCFF713BHS,ENCFF384BFE,ENCFF611MXW,ENCFF973GEQ,ENCFF051DBP,ENCFF842TMB,ENCFF182FGP,ENCFF296ZTM,ENCFF546LDW,ENCFF307SLN,ENCFF352KRP,ENCFF136UBW,ENCFF171FQU,ENCFF717PSW,ENCFF855AWK
TFAP2A,13.231978822262542,1.70424683181727,39.159436111094095,29.496664184887667,35.46310942987961,11.788560776169245,5.000000000000001,8.33346873767367,7.396953505150081,4.633067386990827,9.7816358207212,12.387753823641331,14.49321039381599,11.377691540669082,18.94082828263746,8.317369655908681,0.0,18.45314695156381,6.567783065757295,16.470956499200582,5.781730765548819,13.364868516882844,1.979010772339583,10.630697347434184,9.14095434172522
TFAP2B,0.0,0.0,3.356523095236637,0.0,0.0,0.0,2.5000000000000004,1.666693747534734,0.0,0.0,0.0,2.752834183031408,0.0,0.0,0.0,4.158684827954341,0.0,0.0,0.0,0.0,3.854487177032545,0.0,0.0,0.0,0.0
TFAP2C,1.3231978822262542,1.70424683181727,5.594205158727728,4.42449962773315,2.533079244991401,4.715424310467697,0.0,1.666693747534734,1.84923837628752,3.0887115913272183,3.260545273573733,0.0,0.0,0.0,0.0,0.0,0.0,2.0503496612848675,0.0,0.0,0.0,0.0,0.0,6.37841840846051,4.57047717086261
TFAP2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFAP2E,2.6463957644525085,1.70424683181727,4.475364126982182,2.9496664184887664,0.0,4.715424310467697,10.000000000000002,11.666856232743138,5.547715128862561,1.5443557956636091,1.6302726367868663,1.3764170915157037,3.6233025984539977,2.8444228851672704,2.705832611805352,0.0,0.0,4.100699322569735,2.1892610219190987,0.0,17.345192296646456,0.0,0.0,0.0,0.0
ARID5A,105.85583057810034,54.53589861815264,410.6146586506152,558.9617863036212,577.5420678580393,480.9732796677051,335.00000000000006,388.339643175593,133.14516309270147,324.31471708935794,291.8188019848492,273.907001211625,239.13797149796383,255.9980596650543,257.0540981215084,245.3624048493061,248.6558405169185,198.88391714463216,159.8160546000942,96.47274520960342,169.597435789432,403.17353359263245,360.17996056580404,308.2902230755913,370.2086508398714
ARID5B,215.68125480287944,242.0030501180524,177.89572404754173,227.12431422363505,219.11135469175616,492.7618404438744,347.50000000000006,715.0116176924008,549.2237977573935,185.3226954796331,176.06944477298157,140.39454333460176,150.9709416022499,310.04209448323246,362.58156998191714,24.952108967726044,44.75805129304533,328.0559458055788,374.36363474816585,456.4807944064162,358.4673074640267,224.9752867008612,154.36284024248744,131.82064710818386,123.40288361329046
ARID3B,637.7813792330546,593.07789747241,1315.7570533327616,1522.0278719402036,1598.3730035895735,1626.8213871113555,1365.0000000000002,2250.036559171891,1159.472461932275,520.4479031386363,537.989970139666,740.5123952354485,710.1673092969836,486.3963133636032,492.461535348574,553.1050821179273,532.1234987062056,914.4559489330508,829.7299273073384,1416.5022589312505,1300.8894222484842,1131.5588677627477,827.2265028379455,1071.5742926213657,1144.9045313010838
ARID3A,2758.8675844417403,2774.513842198516,10618.920232296972,8770.833095376347,10361.560651637325,5186.966741514467,4055.000000000001,4993.414467614063,2072.9962198183102,4297.942179331824,3813.207697444481,4057.677585788294,3750.118189399888,2360.8709946888343,2838.418409783814,1293.3509814938,1377.5533564637285,3223.149667539812,2929.231247327754,2028.280643187272,2518.907370190768,7146.8634394031005,6847.377272294956,2493.96159770806,2353.795742994244
ARID3C,0.0,0.0,0.0,0.0,0.0,2.3577121552338487,0.0,1.666693747534734,0.0,0.0,0.0,0.0,0.0,2.8444228851672704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1137390430735703,0.0,2.1261394694868367,2.285238585431305
HMGA2,2.6463957644525085,1.70424683181727,10.06956928570991,23.59733134791013,12.665396224957004,4.715424310467697,0.0,0.0,0.0,0.0,3.260545273573733,2.752834183031408,3.6233025984539977,0.0,2.705832611805352,0.0,0.0,8.20139864513947,8.757044087676395,0.0,0.0,0.0,0.0,0.0,0.0
HMGA1,18975.980829006712,15280.277094073645,75264.43620552286,90455.94522258575,92234.48146862688,4114.207710883066,3792.500000000001,2246.703171676821,772.9816412881835,18312.97102497908,16596.1754424903,32092.540905780144,30801.69538945744,6758.348775157434,8609.959370764629,34196.865340268545,32046.764725820456,19191.27282962636,18041.70008163529,4590.690875705763,3297.5137799513427,60616.361158322135,51517.608425544015,39956.53905006612,42583.13580092693
ZBED1,1511.0919815023824,1322.4955414902015,2066.4993856340225,2530.813787063362,2405.1587431193348,2239.826547472156,1742.5000000000005,2303.370759093002,1192.758752705451,2066.348054597909,1902.5281671302728,1822.3762291667915,1801.9891589644549,1206.0353033109225,1496.3254343283595,648.7548331608772,556.9890827578974,1457.7986091735409,1147.1727754856076,729.4280735360259,1029.1480762676897,2474.728153709473,2213.523548861823,1171.502847687247,1101.4849981778889
ZNF487,161.43014163160302,155.08646169537158,61.53625674600501,85.54032613617423,72.19275848225492,183.9015481082402,147.50000000000003,240.0038996450017,175.6776457473144,134.35895422273398,81.51363183934332,147.27662879218028,149.7631740694319,99.55480098085444,45.999154400690976,103.96712069885852,129.30103706879763,100.46713340295852,122.59861722746952,237.65237234560843,204.2878203827249,49.00451789523709,92.0240009137906,127.5683681692102,98.26525917354611
ZNF486,156.137350102698,168.72043634990973,111.88410317455455,81.11582650844109,72.19275848225492,30.650258018040034,40.00000000000001,21.667018717951542,51.778674536050566,149.8025121793701,130.42181094294932,99.10203058913066,112.32238055207394,68.26614924401449,119.05663491943548,62.38027241931511,94.48921939642902,211.18601511234132,192.65496992888063,47.05987571200167,23.126923062195274,62.36938641211994,49.475269308489565,114.81153135228918,169.10765532191655
ZNF485,1049.2959206054195,990.167409285834,382.6436328569766,517.6664564447785,501.5496905082973,351.2991111298435,365.00000000000006,318.3385057791342,650.9319084532071,727.3915797575598,593.4192397904194,708.8548021305874,818.8663872506035,375.46382084207966,395.0515613235813,540.6290276340643,556.9890827578974,742.226577385122,820.9728832196619,371.7730181248132,373.8852561721569,357.51023282661606,343.3583690009176,546.417843658117,671.8601441168037
ZNF484,609.9942237063033,715.7836693632535,249.50155007925667,241.87264631607889,254.57446412163577,181.54383595300635,332.50000000000006,278.3378558383006,870.991275231422,488.0164314297005,423.8708855645853,557.44892206386,601.4682313433636,438.0411243157596,481.6382049013526,124.76054483863022,79.56986896541392,748.3776263689766,836.2977103730956,221.18141584640784,333.4131408133152,196.0180715809484,203.838109550977,172.21729702843376,246.8057672265809
ZNF483,62.19030046463395,57.94439228178718,30.20870785712973,35.3959970218652,26.597332072409703,9.430848620935397,20.000000000000004,18.333631222882072,11.095430257725122,26.254048526281355,48.908179103606,50.92743238608103,68.84274937062595,39.82192039234178,40.58748917708027,16.634739311817363,14.91935043101511,82.0139864513947,89.75970189868303,4.705987571200167,11.563461531097635,16.706085646103556,9.895053861697914,21.26139469486837,22.85238585431305
ZNF479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0503496612848675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF480,3194.199687694178,3543.1291633481046,881.6467330154899,1552.9993693343356,1409.6585998377143,381.9493691478835,552.5000000000001,351.6723807298289,1314.808485540427,1397.6419950755662,1442.7912835563768,2388.083653779746,2474.7156747440804,873.237825746352,1055.2747186040872,1052.1472614724482,1054.3007637917344,2751.5692454442924,2778.172236815336,298.8302107712106,447.1205125357753,1332.03189551599,1103.2985055793174,1237.413171241339,1343.720288233607
